symbol, name, currency, stockExchange, exchangeShortName
"TSBPX","TIAA-CREF Core Impact Bond Fund Premier Class","USD","NASDAQ","NASDAQ",
"TILPX","TIAA-CREF Large-Cap Growth Fund Premier Class","USD","NASDAQ","NASDAQ",
"TCLNX","TIAA-CREF Lifecycle 2030 Fund Retirement Class","USD","NASDAQ","NASDAQ",
"605033.SS","Shaanxi Meibang Pharmaceutical Group Co., Ltd.","CNY","Shanghai","SHH",
"TILRX","TIAA-CREF Large-Cap Growth Fund Retirement Class","USD","NASDAQ","NASDAQ",
"601568.SS","Shaanxi Beiyuan Chemical Industry Group Co., Ltd.","CNY","Shanghai","SHH",
"600379.SS","Shaanxi Baoguang Vacuum Electric Device Co., Ltd.","CNY","Shanghai","SHH",
"TRLIX","TIAA-CREF Large-Cap Value Fund Institutional Class","USD","NASDAQ","NASDAQ",
"TCREX","TIAA-CREF Real Estate Securities Fund Retail Class","USD","NASDAQ","NASDAQ",
"TSBIX","TIAA-CREF Core Impact Bond Fund Institutional Class","USD","NASDAQ","NASDAQ",
"USAGX","USAA Mutual Fds Tr Precious Metals and Minerals Fund","USD","NASDAQ","NASDAQ",
"TRIRX","TIAA-CREF Large Cap Growth Index Fund Retirement Class","USD","NASDAQ","NASDAQ",
"TLQIX","TIAA-CREF Lifecycle Index 2025 Fund Institutional Class","USD","NASDAQ","NASDAQ",
"TLLIX","TIAA-CREF Lifecycle Index 2050 Fund Institutional Class","USD","NASDAQ","NASDAQ",
"TLIIX","TIAA-CREF Quant Large-Cap Growth Fund Institutional Class","USD","NASDAQ","NASDAQ",
"002864.SZ","Shaanxi Panlong Pharmaceutical Group Limited By Share Ltd","CNY","Shenzhen","SHZ",
"600831.SS","Shaanxi Broadcast & TV Network Intermediary(Group)Co.,Ltd.","CNY","Shanghai","SHH",
"600248.SS","Shaanxi Construction Engineering Group Corporation Limited","CNY","Shanghai","SHH",
"000812.SZ","Shaanxi Jinye Science Technology and Education Group Co.,Ltd","CNY","Shenzhen","SHZ",
"TETAA","Teton Advisors, LLC","USD","Other OTC","PNK",
"SBSAA","Spanish Broadcasting System, Inc.","USD","Other OTC","PNK",
"RBPAA","16197","USD","NASDAQ","NASDAQ",
"RBCAA","Republic Bancorp, Inc.","USD","NASDAQ Global Select","NASDAQ",
"PARAA","Paramount Global","USD","NASDAQ Global Select","NASDAQ",
"MCRAA","McRae Industries, Inc.","USD","Other OTC","PNK",
"GRTAA","Griffin Realty Trust Inc.","USD","Other OTC","PNK",
"VIVAA.BO","Vivaa Tradecom Limited","INR","Bombay Stock Exchange","BSE",
"TANAA.BO","Taneja Aerospace and Aviation Limited","INR","Bombay Stock Exchange","BSE",
"NYKAA.NS","FSN E-Commerce Ventures Limited","INR","National Stock Exchange of India","NSE",
"NYKAA.BO","FSN E-Commerce Ventures Limited","INR","Bombay Stock Exchange","BSE",
"KOZAA.IS","Koza Anadolu Metal Madencilik Isletmeleri A.S.","TRY","Istanbul Stock Exchange","IST",
"ALFAA.MX","Alfa, S. A. B. de C. V.","MXN","Mexico","MEX",
"SMSAAM.SN","Sociedad Matriz SAAM S.A.","CLP","Santiago","SGO",
"RADAAN.NS","Radaan Mediaworks India Limited","INR","National Stock Exchange of India","NSE",
"RADAAN.BO","Radaan Mediaworks India Limited","INR","Bombay Stock Exchange","BSE",
"DEYAAR.AE","Deyaar Development PJSC","AED","Dubai","DFM",
"MAHAANF.BO","Mahaan Foods Limited","INR","Bombay Stock Exchange","BSE",
"DHYAANI.BO","DHYAANI TILE AND MARBLEZ LIMIT","INR","Bombay Stock Exchange","BSE",
"NOVAAGRI.NS","Nova Agritech Limited","INR","National Stock Exchange of India","NSE",
"AMRAAGRI.BO","Amraworld Agrico Limited","INR","Bombay Stock Exchange","BSE",
"TITAANIUM.BO","Titaanium Ten Enterprise Limited","INR","Bombay Stock Exchange","BSE",
"SHRAAITECH.BO","Shradha AI Technologies Limite","INR","Bombay Stock Exchange","BSE",
"BZRUSD","Bazaars USD","USD","CCC","CRYPTO",
"CAN","Canaan Inc.","USD","NASDAQ Global Market","NASDAQ",
"ZPAEUSD","ZelaaPayAE USD","USD","CCC","CRYPTO",
"CPKOF","Akwaaba Mining Ltd.","USD","Other OTC","PNK",
"6112.TW","Metaage Corporation","TWD","Taiwan","TAI",
"RSS.V","RESAAS Services Inc.","CAD","Toronto Stock Exchange Ventures","TSXV",
"RSASF","RESAAS Services Inc.","USD","Other OTC","PNK",
"ALBA.TA","Albaad Massuot Yitzhak Ltd","ILA","Tel Aviv","TLV",
"SHUAW","SHUAA Partners Acquisition Corp I","USD","NASDAQ Global Market","NASDAQ",
"SHUAU","SHUAA Partners Acquisition Corp I","USD","NASDAQ Global Market","NASDAQ",
"SHUA","SHUAA Partners Acquisition Corp I","USD","NASDAQ Global Market","NASDAQ",
"TTLPF.BK","Talaad Thai Leasehold Property Fund","THB","Thailand","SET",
"8060.SR","Walaa Cooperative Insurance Company","SAR","Saudi","SAU",
"AVVH","AVVAA World Health Care Products, Inc.","USD","Other OTC","PNK",
"BOYAF","Boyaa Interactive International Limited","USD","Other OTC","PNK",
"0434.HK","Boyaa Interactive International Limited","HKD","HKSE","HKSE",
"IISL.BO","Ishaan Infrastructures and Shelters Limited","INR","Bombay Stock Exchange","BSE",
"VISTAA.MX","Vista Energy, S.A.B. de C.V.","MXN","Mexico","MEX",
"SAVIAA.MX","Savia SA de CV","MXN","Mexico","MEX",
"PFIBAA.CO","PFA Invest Balance A","DKK","Copenhagen","CPH",
"NYIDAA.CO","Nykredit Invest Danske Aktier Akk KL","DKK","Copenhagen","CPH",
"NAYSAA.BO","Naysaa Securities Limited","INR","Bombay Stock Exchange","BSE",
"MMIGAA.CO","MMI Globale Aktier Akk. – Harding Loevner","DKK","Copenhagen","CPH",
"MAJVAA.CO","Maj Invest Value Aktier Akk","DKK","Copenhagen","CPH",
"LSIGAA.CO","Lån & Spar Invest - Globale Aktier Basis Akkumulerende","DKK","Copenhagen","CPH",
"KRSNAA.NS","Krsnaa Diagnostics Limited","INR","National Stock Exchange of India","NSE",
"KRSNAA.BO","Krsnaa Diagnostics Limited","INR","Bombay Stock Exchange","BSE",
"GISSAA.MX","Grupo Industrial Saltillo, S.A.B. de C.V.","MXN","Mexico","MEX",
"FPIGAA.CO","Formuepleje Globale Aktier - Akkumulerende","DKK","Copenhagen","CPH",
"BOLSAA.MX","Bolsa Mexicana de Valores, S.A.B. de C.V.","MXN","Mexico","MEX",
"BIVOAA.CO","Investeringsforeningen Bil Danmark - Selection Aktier Akk.- KL","DKK","Copenhagen","CPH",
"BAIGAA.CO","Investeringsforeningen Bankinvest Globale Aktier Akk A Fund","DKK","Copenhagen","CPH",
"BAIBAA.CO","Investeringsforeningen BankInvest - Børsnoterede Alternativer Akk. KL","DKK","Copenhagen","CPH",
"SEIDAAP.CO","SEBinvest - Danske Aktier Akkumulerende AKL","DKK","Copenhagen","CPH",
"PFIBAAK.CO","PFA Invest Balance A Akkumulere","DKK","Copenhagen","CPH",
"HARIAAPL.BO","Haria Apparels Limited","INR","Bombay Stock Exchange","BSE",
"BAIGAAUA.CO","Investeringsforeningen Bankinvest Globale Aktier Baeredygtig Udvikling A","DKK","Copenhagen","CPH",
"SURYAAMBA.BO","Suryaamba Spinning Mills Limited","INR","Bombay Stock Exchange","BSE",
"SHIVAAGRO.BO","Shiva Global Agro Industries Limited","INR","Bombay Stock Exchange","BSE",
"MUKTAARTS.NS","Mukta Arts Limited","INR","National Stock Exchange of India","NSE",
"MUKTAARTS.BO","Mukta Arts Limited","INR","Bombay Stock Exchange","BSE",
"JAMNAAUTO.NS","Jamna Auto Industries Limited","INR","National Stock Exchange of India","NSE",
"JAMNAAUTO.BO","Jamna Auto Industries Limited","INR","Bombay Stock Exchange","BSE",
"BAIGAAUAA.CO","Investeringsforeningen Bankinvest Globale Aktier Baeredygtig Udvikling Akk.A","DKK","Copenhagen","CPH",
"SEINAASRII.CO","SEBinvest AKL Nordamerika Aktie","DKK","Copenhagen","CPH",
"CWIGAAKKKLA.CO","C WorldWide Globale Aktier - AK","DKK","Copenhagen","CPH",
"CASUSD","Cashaa USD","USD","CCC","CRYPTO",
"MAX","MediaAlpha, Inc.","USD","New York Stock Exchange","NYSE",
"SBO.OL","Selvaag Bolig ASA","NOK","Oslo Stock Exchange","OSL",
"0Q92.L","Selvaag Bolig ASA","NOK","London Stock Exchange","LSE",
"3046.HK","ChinaAMC Ether ETF","HKD","HKSE","HKSE",
"4334.SR","Al Maather Reit Fund","SAR","Saudi","SAU",
"3042.HK","ChinaAMC Bitcoin ETF","HKD","HKSE","HKSE",
"TON.JO","Tongaat Hulett Limited","ZAc","Johannesburg","JNB",
"DIAMONDYD.NS","Prataap Snacks Limited","INR","National Stock Exchange of India","NSE",
"DIAMONDYD.BO","Prataap Snacks Limited","INR","Bombay Stock Exchange","BSE",
"3086.HK","ChinaAMC NASDAQ 100 ETF","HKD","HKSE","HKSE",
"83188.HK","ChinaAMC CSI 300 Index ETF","CNY","HKSE","HKSE",
"3143.HK","ChinaAMC Hong Kong Banks ETF","HKD","HKSE","HKSE",
"513300.SS","ChinaAMC NASDAQ 100 ETF(QDII)","CNY","Shanghai","SHH",
"3145.HK","ChinaAMC Asia High Dividend ETF","HKD","HKSE","HKSE",
"3088.HK","ChinaAMC Hang Seng TECH Index ETF","HKD","HKSE","HKSE",
"3160.HK","ChinaAMC MSCI Japan Hedged to USD ETF","HKD","HKSE","HKSE",
"3121.HK","ChinaAMC MSCI Asia Pacific Real Estate ETF","HKD","HKSE","HKSE",
"3141.HK","ChinaAMC Asia USD Investment Grade Bond ETF","HKD","HKSE","HKSE",
"3165.HK","ChinaAMC MSCI Europe Quality Hedged to USD ETF","HKD","HKSE","HKSE",
"CHMCF","ChinaAMC ETF Series - ChinaAMC CSI 300 Index ETF","USD","Other OTC","PNK",
"7261.HK","ChinaAMC NASDAQ-100 Index Daily (2x) Leveraged Product","HKD","HKSE","HKSE",
"7522.HK","ChinaAMC Direxion NASDAQ-100 Daily (-2x) Inverse Product","HKD","HKSE","HKSE",
"7331.HK","ChinaAMC Direxion NASDAQ-100 Daily (-1x) Inverse Product","HKD","HKSE","HKSE",
"7373.HK","ChinaAMC Direxion CSI 300 Index Daily (-1x) Inverse Product","HKD","HKSE","HKSE",
"7272.HK","ChinaAMC Direxion CSI 300 Index Daily (2x) Leveraged Product","HKD","HKSE","HKSE",
"3157.HK","ChinaAMC Hang Seng Stock Connect Hong Kong SmallCap Index ETF","HKD","HKSE","HKSE",
"82813.HK","ChinaAMC Bloomberg Barclays China Treasury + Policy Bank Bond Index ETF","CNY","HKSE","HKSE",
"GFAMSAA.MX","Grupo Famsa, S.A.B. de C.V.","MXN","Mexico","MEX",
"CODUSAA.MX","548","MXN","Mexico","MEX",
"BAIVGAA.CO","BankInvest Value Globale Aktier","DKK","Copenhagen","CPH",
"BAIHUAA.CO","BankInvest - Højt Udbytte Aktier KL","DKK","Copenhagen","CPH",
"BAIEMAA.CO","BankInvest Emerging Markets Aktier","DKK","Copenhagen","CPH",
"BAIDKAA.CO","BankInvest - Danske Aktier KL","DKK","Copenhagen","CPH",
"VEDAVAAG.BO","Vedavaag Systems Limited","INR","Bombay Stock Exchange","BSE",
"SAMBHAAV.NS","Sambhaav Media Limited","INR","National Stock Exchange of India","NSE",
"SAMBHAAV.BO","Sambhaav Media Limited","INR","Bombay Stock Exchange","BSE",
"BAIDKAAKA.CO","Bankinvest - Danske Aktier Akk. KL","DKK","Copenhagen","CPH",
"SYIGEAADKK.CO","Sydinvest Globale EM-Aktier KL","DKK","Copenhagen","CPH",
"SYIBDAADKK.CO","Investeringsforeningen Sydinvest Baeredygtige Aktier A Dkk","DKK","Copenhagen","CPH",
"SUERYAAKNI.BO","Sueryaa Knitwear Limited","INR","Bombay Stock Exchange","BSE",
"NDISTAAKL1.CO","Nordea Invest Stabile Aktier Akkumulerende","DKK","Copenhagen","CPH",
"AMBICAAGAR.NS","Ambica Agarbathies Aroma & Industries Limited","INR","National Stock Exchange of India","NSE",
"AMBICAAGAR.BO","Ambica Agarbathies Aroma & Industries Limited","INR","Bombay Stock Exchange","BSE",
"SPIBDAAKKKLA.CO","SPARINVEST BÆREDYGTIGE AKTIER AKK","DKK","Copenhagen","CPH",
"PMICTAAKLNEUR.CO","PP Capital - Tactical Asset Allocation","EUR","Copenhagen","CPH",
"300635.SZ","SinoDaan Co., Ltd.","CNY","Shenzhen","SHZ",
"KWS.SW","KWS SAAT SE & Co. KGaA","EUR","Swiss Exchange","SIX",
"KWS.DE","KWS SAAT SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"KNKZF","KWS SAAT SE & Co. KGaA","USD","Other OTC","PNK",
"MCHA","Matchaah Holdings, Inc.","USD","Other OTC","PNK",
"TTAM.TA","Tiv Taam Holdings 1 Ltd.","ILA","Tel Aviv","TLV",
"TLEVISAA.MX","Grupo Televisa SAB","MXN","Mexico","MEX",
"SUVIDHAA.NS","Suvidhaa Infoserve Limited","INR","National Stock Exchange of India","NSE",
"SUVIDHAA.BO","Suvidhaa Infoserve Limited","INR","Bombay Stock Exchange","BSE",
"SPIBDVAA.CO","Sparinvest Bæredygtige Value Aktier","DKK","Copenhagen","CPH",
"IMAGICAA.NS","Imagicaaworld Entertainment Limited","INR","National Stock Exchange of India","NSE",
"IMAGICAA.BO","Imagicaaworld Entertainment Limited","INR","Bombay Stock Exchange","BSE",
"CYDSASAA.MX","Cydsa, S.A.B. de C.V.","MXN","Mexico","MEX",
"BIVOPRAA.CO","BankInvest Optima Rente Akk. KL","DKK","Copenhagen","CPH",
"ATLANTAA.BO","Atlantaa Limited","INR","Bombay Stock Exchange","BSE",
"ORTINLAABS.BO","Ortin Laboratories Limited","INR","Bombay Stock Exchange","BSE",
"MMIGLVAAKT.CO","Multi Manager Invest Globale Value Aktier","DKK","Copenhagen","CPH",
"BAIBDKAAUA.CO","BankInvest BIX DK Akt Ansvarlig","DKK","Copenhagen","CPH",
"MMIGLVAAKTAKK.CO","Multi Manager Invest Globale Value Aktier","DKK","Copenhagen","CPH",
"BAIBDKAAUAKKA.CO","BankInv BIX DK Akt Ansvarl Udvi","DKK","Copenhagen","CPH",
"BRRDF","Borregaard ASA","USD","Other OTC","PNK",
"BRG.OL","Borregaard ASA","NOK","Oslo Stock Exchange","OSL",
"BRGAY","Borregaard ASA","USD","Other OTC","PNK",
"TGVSL.BO","TGV SRAAC Limited","INR","Bombay Stock Exchange","BSE",
"4163.SR","Al-Dawaa Medical Services Company","SAR","Saudi","SAU",
"BAILDKOAA.CO","BankInvest Lange Danske Obligationer Akk. KL","DKK","Copenhagen","CPH",
"BAIGOAUAA.CO","BankInvest Globale Obligationer Ansvarlig Udvikling Akk. A","DKK","Copenhagen","CPH",
"JAINEX.BO","Jainex Aamcol Limited","INR","Bombay Stock Exchange","BSE",
"FICO","Fair Isaac Corporation","USD","New York Stock Exchange","NYSE",
"0TIQ.L","Fair Isaac Corporation","USD","London Stock Exchange","LSE",
"MTHH.CO","MT Højgaard Holding A/S","DKK","Copenhagen","CPH",
"6265.TWO","Kuen Chaang Uppertech Corp.","TWD","Taipei Exchange","TWO",
"APLY.NE","Apple (AAPL) Yield Shares Purpose ETF","CAD","Cboe CA","NEO",
"GRIEJD.CO","Gudme Raaschou Europæiske Ejendomsaktier","DKK","Copenhagen","CPH",
"TLKM.JK","Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk","IDR","Jakarta Stock Exchange","JKT",
"TLKMF","Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk","USD","Other OTC","PNK",
"TLK","Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk","USD","New York Stock Exchange","NYSE",
"XINSA.IS","BIST INSAAT","TRY","Istanbul Stock Exchange","INDEX",
"BGE.AX","Bridge SaaS Limited","AUD","Australian Securities Exchange","ASX",
"ZILLIONXOUSD","ZILLION AAKAR XO USD","USD","CCC","CRYPTO",
"ENKAI.IS","Enka Insaat ve Sanayi A.S.","TRY","Istanbul Stock Exchange","IST",
"EKIVF","Enka Insaat ve Sanayi A.S.","USD","Other OTC","PNK",
"601369.SS","Xi'an Shaangu Power Co., Ltd.","CNY","Shanghai","SHH",
"ICLO","Invesco Aaa Clo Floating Rate Note ETF","USD","BATS","ETF",
"QLTA","iShares Aaa - A Rated Corporate Bond ETF","USD","New York Stock Exchange Arca","AMEX",
"CLOX","Panagram AAA CLO ETF","USD","New York Stock Exchange Arca","AMEX",
"TEJASSVI.BO","TEJASSVI AAHARAM LIMITED","INR","Bombay Stock Exchange","BSE",
"SHVFL.BO","Shreevatsaa Finance and Leasing Limited","INR","Bombay Stock Exchange","BSE",
"BB-A-WETHUSD","Balancer Aave v3 Boosted Pool (WETH) USD","USD","CCC","CRYPTO",
"APLY","YieldMax AAPL Option Income Strategy ETF","USD","New York Stock Exchange Arca","AMEX",
"PGAS.JK","PT Perusahaan Gas Negara Tbk","IDR","Jakarta Stock Exchange","JKT",
"JHS.NS","JHS Svendgaard Laboratories Limited","INR","National Stock Exchange of India","NSE",
"JHS.BO","JHS Svendgaard Laboratories Limited","INR","Bombay Stock Exchange","BSE",
"002252.SZ","Shanghai RAAS Blood Products Co., Ltd.","CNY","Shenzhen","SHZ",
"PPLFY","PT Perusahaan Perkebunan London Sumatra Indonesia Tbk","USD","Other OTC","PNK",
"PPLFF","PT Perusahaan Perkebunan London Sumatra Indonesia Tbk","USD","Other OTC","PNK",
"LSIP.JK","PT Perusahaan Perkebunan London Sumatra Indonesia Tbk","IDR","Jakarta Stock Exchange","JKT",
"4191.SR","Abdullah Saad Mohammed Abo Moati for Bookstores Company","SAR","Saudi","SAU",
"TYRES.HE","Nokian Renkaat Oyj","EUR","Helsinki","HEL",
"NKRKY","Nokian Renkaat Oyj","USD","Other OTC","PNK",
"NKRKF","Nokian Renkaat Oyj","USD","Other OTC","PNK",
"603822.SS","Zhejiang Jiaao Enprotech Stock Co., Ltd","CNY","Shanghai","SHH",
"300412.SZ","Zhejiang Canaan Technology Limited","CNY","Shenzhen","SHZ",
"300559.SZ","Chengdu Jiafaantai Education Technology Co.,Ltd.","CNY","Shenzhen","SHZ",
"QGTA","IQ Leaders GTAA Tracker ETF","USD","New York Stock Exchange Arca","AMEX",
"PORF.AS","B.V. Delftsch Aardewerkfabriek "De Porceleyne Fles Anno 1653"","EUR","Amsterdam","EURONEXT",
"STO3.DE","Sto SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"KSB.DE","KSB SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"KSB3.DE","KSB SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"0G5B.L","Sto SE & Co. KGaA","EUR","London Stock Exchange","LSE",
"FANG.L","GraniteShares FAANG ETC","USD","London Stock Exchange","LSE",
"NACP","Impact Shares NAACP Minority Empowerment ETF","USD","New York Stock Exchange Arca","AMEX",
"IS0Z.DE","iShares Global AAA-AA Govt Bond UCITS ETF USD (Dist)","EUR","Frankfurt Stock Exchange","XETRA",
"EDL.DE","Edel SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"IFCM3.SA","Infracommerce CXaaS S.A.","BRL","São Paulo","SAO",
"BAIKLA.CO","Bæredygtige Klimaaktier Akk. Kl","DKK","Copenhagen","CPH",
"BAIBDA.CO","Bæredygtige Klimaaktier Akk. Kl","DKK","Copenhagen","CPH",
"600979.SS","Sichuan Guangan Aaapublic Co.,Ltd","CNY","Shanghai","SHH",
"GENK.BR","Genk Logistics Naamloze vennootschap","EUR","Brussels","EURONEXT",
"AVIV.TA","Mordechai Aviv Taasiot Beniyah (1973) Ltd.","ILA","Tel Aviv","TLV",
"USTB","VictoryShares USAA Core Short-Term Bond ETF","USD","New York Stock Exchange Arca","AMEX",
"ULVM","VictoryShares USAA MSCI USA Value Momentum ETF","USD","New York Stock Exchange Arca","AMEX",
"UITB","VictoryShares USAA Core Intermediate-Term Bond ETF","USD","New York Stock Exchange Arca","AMEX",
"USVM","VictoryShares USAA MSCI USA Small Cap Value Momentum ETF","USD","New York Stock Exchange Arca","AMEX",
"UIVM","VictoryShares USAA MSCI International Value Momentum ETF","USD","New York Stock Exchange Arca","AMEX",
"UEVM","VictoryShares USAA MSCI Emerging Markets Value Momentum ETF","USD","New York Stock Exchange Arca","AMEX",
"2HRA.DE","H&R GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"0RRC.L","H&R GmbH & Co. KGaA","EUR","London Stock Exchange","LSE",
"AVHNY","Ackermans & Van Haaren NV","USD","Other OTC","PNK",
"AVHNF","Ackermans & Van Haaren NV","USD","Other OTC","PNK",
"ACKB.BR","Ackermans & Van Haaren NV","EUR","Brussels","EURONEXT",
"BB-A-DAIUSD","Balancer Boosted Aave DAI USD","USD","CCC","CRYPTO",
"SOTDF","Ströer SE & Co. KGaA","USD","Other OTC","PNK",
"SAX.DE","Ströer SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"HENOY","Henkel AG & Co. KGaA","USD","Other OTC","PNK",
"HENOF","Henkel AG & Co. KGaA","USD","Other OTC","PNK",
"HENKY","Henkel AG & Co. KGaA","USD","Other OTC","PNK",
"HEN.DE","Henkel AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"HEN3.SW","Henkel AG & Co. KGaA","EUR","Swiss Exchange","SIX",
"HEN3.F","Henkel AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"HEN3.DE","Henkel AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"HELKF","Henkel AG & Co. KGaA","USD","Other OTC","PNK",
"COBH.BR","Brouwerij Handelsmaatschappij NV","EUR","Brussels","EURONEXT",
"8012.SR","Aljazira Takaful Taawuni Company","SAR","Saudi","SAU",
"MUX.DE","Mutares SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"HLLGY","HELLA GmbH & Co. KGaA","USD","Other OTC","PNK",
"HLKHF","HELLA GmbH & Co. KGaA","USD","Other OTC","PNK",
"HLE.SW","HELLA GmbH & Co. KGaA","EUR","Swiss Exchange","SIX",
"HLE.DE","HELLA GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"PEK","VanEck Vectors ChinaAMC CSI 300 ETF","USD","New York Stock Exchange Arca","AMEX",
"IPCC.JK","PT Indonesia Kendaraan Terminal Tbk","IDR","Jakarta Stock Exchange","JKT",
"TTRAK.IS","Türk Traktör ve Ziraat Makineleri A.S.","TRY","Istanbul Stock Exchange","IST",
"XCX.DU","coinIX GmbH & Co. KGaA","EUR","Dusseldorf","DUS",
"MBK.DE","Merkur PrivatBank KgaA","EUR","Frankfurt Stock Exchange","XETRA",
"MOP.BR","Palmboomen Cultuur Maatschappij Mopoli (Palmeraies De Mopoli) N.V.","EUR","Brussels","EURONEXT",
"PGN.DE","paragon GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"MLECO.PA","Ecolutions GmbH&Co KGaA","EUR","Paris","EURONEXT",
"FSNUY","Fresenius SE & Co. KGaA","USD","Other OTC","PNK",
"FSNUF","Fresenius SE & Co. KGaA","USD","Other OTC","PNK",
"FRE.SW","Fresenius SE & Co. KGaA","CHF","Swiss Exchange","SIX",
"FRE.DE","Fresenius SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"0NFG.L","paragon GmbH & Co. KGaA","EUR","London Stock Exchange","LSE",
"DWRKF","Drägerwerk AG & Co. KGaA","USD","Other OTC","PNK",
"DRWKF","Drägerwerk AG & Co. KGaA","USD","Other OTC","PNK",
"DRW8.DE","Drägerwerk AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"DRW3.DE","Drägerwerk AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"DGWPF","Drägerwerk AG & Co. KGaA","USD","Other OTC","PNK",
"CWC.SW","CEWE Stiftung & Co. KGaA","EUR","Swiss Exchange","SIX",
"CWC.DE","CEWE Stiftung & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"0MT8.L","Drägerwerk AG & Co. KGaA","EUR","London Stock Exchange","LSE",
"192090.KS","Mirae Asset TIGER ChinaA300 ETF","KRW","KSE","KSC",
"XBAT.DE","Xtrackers II Eurozone AAA Government Bond Swap UCITS ETF","EUR","Frankfurt Stock Exchange","XETRA",
"EVD.DE","CTS Eventim AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"DWS.DE","DWS Group GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"CEVMY","CTS Eventim AG & Co. KGaA","USD","Other OTC","PNK",
"CEVMF","CTS Eventim AG & Co. KGaA","USD","Other OTC","PNK",
"0SAY.L","DWS Group GmbH & Co. KGaA","EUR","London Stock Exchange","LSE",
"FTWO","EA Series Trust Strive FAANG 2.","USD","New York Stock Exchange Arca","AMEX",
"SFNG.L","GraniteShares 1x Short FAANG Daily ETC","USD","London Stock Exchange","LSE",
"3SFG.L","GraniteShares 3x Short FAANG Daily ETC","USD","London Stock Exchange","LSE",
"ULUSE.IS","Ulusoy Elektrik Imalat Taahhüt ve Ticaret A.S.","TRY","Istanbul Stock Exchange","IST",
"XBAI.DE","Xtrackers II - Eurozone AAA Government Bond Swap UCITS ETF","EUR","Frankfurt Stock Exchange","XETRA",
"1SXP.F","SCHOTT Pharma AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"GABUX","Gabelli Utilities Fd Class AAA","USD","NASDAQ","NASDAQ",
"MCC.BR","Immo Mechelen City Center Naamloze vennootschap","EUR","Brussels","EURONEXT",
"HBH.DE","HORNBACH Holding AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"HBH3.SW","HORNBACH Holding AG & Co. KGaA","EUR","Swiss Exchange","SIX",
"HBBHF","HORNBACH Holding AG & Co. KGaA","USD","Other OTC","PNK",
"PRRCF","ProCredit Holding AG & Co. KGaA","USD","Other OTC","PNK",
"PCZ.DE","ProCredit Holding AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"0RL9.L","ProCredit Holding AG & Co. KGaA","EUR","London Stock Exchange","LSE",
"COP.DE","CompuGroup Medical SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"CMPVF","CompuGroup Medical SE & Co. KGaA","USD","Other OTC","PNK",
"CMPUY","CompuGroup Medical SE & Co. KGaA","USD","Other OTC","PNK",
"0MSD.L","CompuGroup Medical SE & Co. KGaA","EUR","London Stock Exchange","LSE",
"GOLDX","Gabelli Gold Fund, Inc. Class AAA","USD","NASDAQ","NASDAQ",
"GABGX","The Gabelli Growth Fund Class AAA","USD","NASDAQ","NASDAQ",
"NCH2.DE","thyssenkrupp nucera AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"WESWX","TETON Westwood Equity Fund Class AAA","USD","NASDAQ","NASDAQ",
"YAYLA.IS","Yayla Enerji Üretim Turizm ve Insaat Ticaret A.S.","TRY","Istanbul Stock Exchange","IST",
"FMS","Fresenius Medical Care AG & Co. KGaA","USD","New York Stock Exchange","NYSE",
"FME.SW","Fresenius Medical Care AG & Co. KGaA","CHF","Swiss Exchange","SIX",
"FME.DE","Fresenius Medical Care AG & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"FMCQF","Fresenius Medical Care AG & Co. KGaA","USD","Other OTC","PNK",
"VIGB.DE","VanEck iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF","EUR","Frankfurt Stock Exchange","XETRA",
"TAT.AS","VanEck iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF","EUR","Amsterdam","EURONEXT",
